source_uri,source_label,selected_uri,selected_label,confidence,method,reason
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-022,Mountain bicycle - Business rules,,,0.0,llm_rejected,"Quell-Konzept 'Mountain bicycle - Business rules' ist ein Dokument über Geschäftsregeln für Mountainbikes (Meta-Ebene/Dokumentation). Alle Kandidaten sind physische Komponenten (ChainArea, Frame, Fork"
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-041,Bicycle - Description of how it is made,http://purl.org/ontology/bikeo#Bike,Bike,0.95,context_aware_full,Das Quell-Konzept beschreibt das Fahrrad als Ganzes ('Bicycle - Description of how it is made') mit Fokus auf Frame und bewegliche Komponenten. Kandidat 0 'Bike' ist die exakte semantische Entsprechun
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-042,Bicycle - Description of function,,,0.95,llm_rejected,"Quelle ist eine allgemeine Beschreibung des gesamten Fahrrads und seiner Komponenten (Frame, Wheel, etc.). Alle Kandidaten sind spezifische Rad-Modelle (Bontrager/Alexrims Wheels). Granularitätsmismat"
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-043,Bicycle - Description attributed to crew,http://purl.org/ontology/bikeo#Bike,Bike,0.85,context_aware_full,"Das Quell-Konzept 'Bicycle - Description attributed to crew' ist eine Beschreibung des gesamten Fahrrads und seiner Kontrollsysteme (Steering, Shifters, Brakes, Pedals). Kandidat 3 'Bike' ist die Onto"
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-121,Bicycle - Pre-operation procedures (crew),http://purl.org/ontology/bikeo#Bike,Bike,0.75,context_aware_full,"Das Quell-Konzept 'Bicycle - Pre-operation procedures (crew)' beschreibt Wartungsprozeduren für das gesamte Fahrrad (Bremsen prüfen, Bremsbeläge untersuchen). Kandidat 1 'Bike' ist die Ontologie-Defin"
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-131,Bicycle - Normal operation procedures (crew),,,0.0,llm_rejected,"Quell-Konzept ist eine Sammlung von Wartungsprozeduren für das gesamte Fahrrad (Pads, Levers, Cables, etc.). Alle Kandidaten sind spezifische Komponenten (ChainRivet, Frame, ChainArea, Crank, Brakes),"
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-151,Bicycle - Post-operation procedures (crew),,,0.85,llm_rejected,"Quell-Konzept ist eine Post-Operation Procedure (Reinigung, Schmierung nach Nutzung) - eine Wartungsanleitung für das gesamte Fahrrad. Alle Kandidaten sind spezifische Komponenten (Crank, Frame, Chain"
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-258,Bicycle - Other procedures to clean,,,0.0,llm_rejected,"Quell-Konzept ist eine generische Reinigungsprozedur für das gesamte Fahrrad ('Bicycle - Other procedures to clean'), während alle Kandidaten spezifische Komponenten sind (Cogset, Crank, ChainStay, Ch"
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-330,Bicycle - Place on test stand,,,0.95,llm_rejected,"Das Quell-Konzept beschreibt eine PROZEDUR (Fahrrad auf Teststand platzieren), keine spezifische Komponente. Alle Kandidaten sind physische Fahrradteile (ChainArea, Fork, Brakes, Frame, Cogset). Die P"
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-663,Bicycle - Standard repair procedures,,,0.85,llm_rejected,"Quelle beschreibt allgemeine Reparaturprozeduren für Fahrräder (Standard repair procedures), während alle Kandidaten spezifische Rad-Modelle (Bontrager Aeolus, AXIS Elite, Alexrims) sind. Die Quelle b"
http://my-company.com/s1000d/S1000DBIKE-AAA-D00-0-0-941,Bicycle - Illustrated Parts Data - IPD,,,0.0,llm_rejected,"Quelle ist 'Illustrated Parts Data (IPD)' - ein Dokumenttyp/Katalog für alle Fahrradteile, keine spezifische Komponente. Alle Kandidaten sind einzelne Komponenten (ChainArea, Frame, Fork, Brakes, Cogs"
http://my-company.com/s1000d/S1000DBIKE-AAA-D05-1-0-000,Bicycle - Time limits,,,0.95,llm_rejected,Quell-Konzept 'Bicycle - Time limits' beschreibt zeitliche Beschränkungen/Wartungsintervalle für das gesamte Fahrrad (administrative/dokumentarische Ebene). Alle Kandidaten sind physische Komponenten 
http://my-company.com/s1000d/S1000DBIKE-AAA-D05-2-0-000,Bicycle - Scheduled maintenance lists,,,0.85,llm_rejected,"Quelle ist 'Scheduled maintenance lists' - eine Dokumentationsstruktur für Wartungspläne des gesamten Fahrrads, kein spezifisches Bauteil. Alle Kandidaten sind konkrete Komponenten (Frame, ChainArea, "
http://my-company.com/s1000d/S1000DBIKE-AAA-D05-4-0-000,Bicycle - Scheduled maintenance checks,,,0.95,llm_rejected,"Quelle ist 'Scheduled maintenance checks' - eine Wartungsprozedur für das gesamte Fahrrad. Alle Kandidaten sind spezifische Komponenten (Frame, ChainArea, Fork, Brakes, Cogset). Die Wartungsprozedur b"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA0-0-0-041,Wheel - Description of how it is made,,,0.0,llm_rejected,"Quelle beschreibt das generische Konzept 'Wheel' und seine Konstruktion (Komponenten: tire, tube, spokes, hub, etc.). Alle Kandidaten sind spezifische Wheel-MODELLE (Bontrager Aeolus RSL 37V, Alexrims"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA0-1-0-921,Inner tube - Remove and install a new item,,,0.0,llm_rejected,Quell-Konzept ist 'Inner tube' (Fahrradschlauch im Reifen) - eine spezifische Komponente des Radsystems. Keiner der Kandidaten behandelt Schläuche oder Reifen-Komponenten: ChainArea/ChainLink beziehen
http://my-company.com/s1000d/S1000DBIKE-AAA-DA0-1-0-215,Tire - Fill with air,http://purl.org/ontology/bikeo#FlatTire,FlatTire,0.85,context_aware_full,"Quell-Konzept beschreibt Prozedur zum Befüllen eines platten Reifens mit Luft ('deflated tire', 'inflate the tire'). Kandidat 4 'FlatTire' definiert genau dieses Problem (Luftverlust bei Reifen). Die "
http://my-company.com/s1000d/S1000DBIKE-AAA-DA0-1-0-362,Tire - Check pressure,,,0.95,llm_rejected,"Quell-Konzept ist 'Tire - Check pressure' (Reifen-Druckprüfung). Keiner der Kandidaten behandelt Reifen/Tire. Kandidaten sind: Brakes (Bremsen), ChainArea (Kettenbereich), Crank (Kurbel), Cogset (Ritz"
http://my-company.com/s1000d/S1000DBIKE-AAA-DA0-1-0-400,Front wheel - Fault reports and isolation procedures,,,0.85,llm_rejected,"Quelle beschreibt Fehlerdiagnose-Prozeduren für Vorderrad (generisches Konzept). Alle Kandidaten sind spezifische Rad-Produktmodelle (AXIS Elite, Bontrager Affinity, etc.). Granularitätsmismatch: Doku"
